[李代]桃僵	比喻以此代彼或代人受過。
[隱姓]埋名	隱瞞姓名，不讓別人知道真實的身分。
[輾轉]反側	形容因心事重重而翻來覆去睡不著覺。
[冷嘲]熱諷	形容尖酸、刻薄的嘲笑和諷刺。
[張口]結舌	形容恐懼慌張，或理屈說不出話的樣子。
[安如]泰山	形容安定穩固如泰山一般，不可動搖[百聞不如一見]	聽別人述說千百遍，不如親眼看一次來得真確。。
[魂飛]魄散	形容非常恐懼害怕。＆指死亡。＆形容心神不寧、恍惚迷亂。
[細水]長流	比喻力量微小而能持之以恆，終有所成。＆形容節約使用財物而能長久不缺。
[養尊]處優	自處尊貴，生活優裕。
[難能]可貴	指做到了不容易做到的事，所以特別可貴。褒義。
[脫胎]換骨	比喻澈底改變。
[養虎]遺患	比喻不除去仇敵、惡人，將給自己留下後患。
[奮不]顧身	奮勇向前，不顧生死。
[身敗]名裂	指人澈底失敗。
[潛移]默化	人的思想、性格或習慣受到影響，不知不覺中起了變化。
[輕而]易舉	形容非常輕鬆，毫不費力。
[漠不]關心	指冷冷淡淡，不加關心。
[笑逐]顏開	形容心中喜悅而眉開眼笑的樣子。
[牛衣]對泣	比喻夫妻共度貧困的生活。
[舞文]弄墨	寫作、寫字，借以比喻賣弄筆墨文辭。
