Is it in the drawer?	它是在抽屜裡嗎？	--
Yes, it is. It is in the drawer.	是的，它是。它在抽屜裡。	--
No, it is not. It is on the desk.	不，它不是。它在桌子上。	--
Is the photo on the bed?	照片在床上嗎？	--
Yes, it is. It is on the bed.	是的，它是。它在床上。	--
No, it is not. It is under the bed.	不，它不是。它在床底下。	--
Are the photos under the sofa?	照片在沙發底下嗎？	--
Yes, they are. They are under the sofa.	對，他們是。他們在沙發下面。	--
No, they are not. They are on the chair.	不，他們不是。他們在椅子上。	--
Are they over the sofa?	他們在沙發上嗎？	--
Yes, they are. They are over the sofa.	對，他們是。他們在沙發上。	--
No, they are not. They are on the bed.	不，他們不是。他們在床上。	--
a window	一個窗口	--
a closet	一個衣櫥	--
a dresser	一個梳妝台	--
a drawer	一個抽屜	--
a comic book	一本漫畫書	--
an alarm clock	一個鬧鐘	--
