수업 [내용]	上課「內容」
[목적]을 이루다	達到「目的」
사용 [방법]	使用「方法」
[사실]을 밝히다	「事實」證明
[이유]를 묻다	詢問「理由」
[자유]를 누리다	享受「自由」
[종류]가 다양하다	「種類」很多
고객의 [편리]	顧客的「方便」
[위험]이 닥치다	臨近「危險」
[경찰서]에 신고하다	去「警察局」報案（警察署）
감옥에 [갇히다]	「被闗在」監獄
[감옥]에 가두다	闗在「監獄」
은행 [강도]	銀行「強盜」
판사와 [검사]	法官和「檢察官」
교통 [경찰관]	交通「警官」
[권력]을 강화하다	加強「權力」
[도둑]을 잡다	捉「小偷」
[마약]에 중독되다	「毒品」中毒
[범인]을 체포하다	逮捕「犯人」
[법]을 지키다	遵守「法律」
[법원]에 가다	去「法院」
[부정]을 저지르다	做了「非法行為」
[살인]을 저지르다	犯下「謀殺」
경찰 [수사]	警察「調查」
법의 [심판]	法律「審判」
대화 [유도]	對話「誘導」
[증거]를 찾다	找「證據」
[파출소]에 신고하다	去「派出所」報案
[폭력]을 쓰다	使用「暴力」
부모의 [강요]	父母的「要求」
[강제]로 시키다	「強制」
그런  [경우]	這樣的「情況」
[권리]를 누리다	享受「權利」
[규정]을 지키다	訂「規則」
법적 [근거]	法律「根據」
[기준]을 세우다	訂「基準」（標準）
[기초]를 다지다	奠立「基礎」
[까닭]을 묻다	問「原因」
[단속]을 피하다	避開「管制」
[명령]을 내리다	下「命令」
[모범]이 되다	成為「典範」
[목표]를 세우다	訂「目標」
생활 [방식]	生活「方式」
[법칙]을 지키다	守「規則」
[사정]이 좋다	「情況」很好
[사태]를 해결하다	解決「事情」
[상황]이 불리하다	「狀況」不利
[여건]이 좋다	「條件」很好
[용도]에 맞다	按照「用途」
[원인]을 밝히다	查明「原因」
[원칙]을 지키다	遵守「原則」
[의무적] 규정	「強制性的」規定
[이론]을 세우다	建立「理論」
불리한 [작용]	不利的「作用」
[제약]이 많다	「限制」很多
[제외] 대상	「除外」對象
나이 [제한]	年齡「限制」
성공 [조건]	成功「條件」
[조사] 결과	「調查」結果
컨디션 [조절]	「調整」狀態
[질서]를 유지하다	維持「䄮序」
[책임]을 지다	負「責任」
[특징]이 드러나다	「顯現」特色
[표준] 시간	「標準」時間
열대야 [현상]	熱帶「現象」
[형식]을 갖추다	具備「形式」
법적 [대응]	法律「對應」
지문 [대조]	指紋「比對」
[경고]를 주다	給「警告」
[벌금]을 부과하다	課「罰金」
죄인을 옥에 [가두다].	把罪犯「关押」在监狱里
[도난]을 당하다	遭受「盜竊」
[벌]을 받다	接受「懲罰」
[법적] 조치	「法律」措施
[불법] 주차	「非法」停車
거짓말에 [속다]	被謊言「騙」
[악취]가 나다	發出「惡臭」
신호 [위반]	「違反」信號
[이해관계]를 따지다	計算「利害闗係」
[죄]를 짓다	犯「罪」
[처벌]을 받다	受到「懲罰」
자동차 [충돌]	汽車「碰撞」
제도의 [폐지]	廢除「制度」
사고 [피해자]	事故「受害者」
[합의]를 보다	看「協議」
[현장]에 나가다	去「現場」
아파트 [경비실]	公寓「警衛室」
[구속]이 심하다	「限制」重重
종아리를 [때리다]	「打」小腿
범인이 [붙잡히다]	「捕捉」犯人
[비명]을 지르다	發出「悲鳴」
야간 [비행]	夜間「飛行」
[사인]을 하다	簽名
분실물 [신고]	遺失物「申告」
[실종] 사건	「失踪」事件
[싸움]이 나다	發生「爭吵」
[일일이] 검사하다	「逐一」檢查
음성 [조작]	語音「操作」
[희생자]가 늘다	「受害者」增加
