비가 [내리다]	「下」雨
날씨가 [덥다]	天氣「熱」
방 안이 [따뜻하다]	家中很「溫暖」
물기가 [마르다]	水氣「乾了」
공기가 [맑다]	空氣「清新」
바람이 [불다]	風「吹」
날씨가 [선선하다]	天氣「涼爽」
공기가 [시원하다]	空氣「涼爽」
과일이 [신선하다]	水果很「新鮮」
날씨가 [쌀쌀하다]	天氣「很寒冷」
조명이 [어둡다]	照明「很暗」
얼음이 [얼다]	「結」冰
[온도]가 높다	「溫度」很高
안개가 [진하다]	霧「很濃」
물이 [차갑다]	水「很涼」
바람이 [차다]	風「涼」
날씨가 [춥다]	天氣「冷」
공기가 [흐리다]	空氣「渾濁」
눈물을 [흘리다]	「飄」雪
[기온]이 높다	「氣溫」很高
[눈]:날씨	雪
[태풍]이 불다	刮「颱風」
눈보라가 [치다]	「刮」暴風雪
[가뭄]이 들다	遭遇「旱災」
[강수량]이 많다	「降水量」大
날이 [개다]	天「晴」
[건조] 기후	「乾燥」氣候
구름이 [끼다]	雲「積著」
조명이 [눈부시다]	燈光「炫耀奪目」
[늦여름]이 지나다	過「晚夏」
[더위]를 피하다	避「暑」
[무더위]가 꺾이다	「暑熱」消退
날씨가 [무덥다]	天氣「熱」
[번개]를 맞다	被「閃電」擊
[비바람]이 치다	刮「暴雨」
[빗물]이 흐르다	「雨水」流
[빗방울]이 떨어지다	落下「雨滴」
마음이 [상쾌하다]	心情「暢快」
밤공기가 [서늘하다]	空氣「涼涼的」
[섭씨] 영 도	「攝氐」零度
[소나기]가 내리다	下「陣雨」
[습기]를 제거하다	除「濕」
[습도]가 높다	「濕度」高
공기가 [습하다]	空氣「潮濕」
날씨가 [썰렁하다]	天氣「清冷」
바람을 [쐬다]	吹「風」
[영상]:영하	「零上」：零下
일기 [예보]	天氣「預報」
[일교차]가 크다	「日溫差」很大
[천둥]이 치다	打「雷」
[첫눈]이 내리다	下「第一場雪」
[추위]를 견디다	經歷「寒冷」
[폭설]이 내리다	暴雪
[폭우]가 내리다	傾盆大雨
[해]를 끼치다	帶來「損害」
[햇볕]을 쬐다	曬「太陽」
[햇살]이 따뜻하다	「陽光」溫暖
날씨가 [화창하다]	天氣「和暢」
[불꽃]이 일어나다	起「火花」
물에 [불리다]	「泡在」水中
[불이익]을 당하다	遭到「損害」
[소방서]에 신고하다	向「消防局」申告
담배 [연기]	煙「氣」
[예측]이 맞다	「預測」準確
[점검]을 받다	接受「檢驗」
[지진]이 발생하다	發生「地震」
[피해]를 입다	蒙受「損失」
