[모임]에 나가다	參加「聚會」
[신부]	神父
[회원]을 모집하다	募集「會員」
[가톨릭]을 믿다	相信「天主教」
[국민] 소득	「國民」所得
[기도]를 올리다	奉上「祈禱」
[기독교]:종교	「基督教」
[단체]에 가입하다	加入「組織」
[대중] 과 소통하다	與「大眾」溝通
[목사]가 설교하다	「牧師」說教
[믿음]이 생기다	產生「信任」
[부처]를 따르다	跟隨「佛祖」
[불교]를 믿다	相信「佛教」
상류 [사회]	上流「社會」
[사회생활]에 적응하다	適應「社會生活」
[사회적] 문제	「社會的」問題
[성당]에 다니다	去「教堂」
업무 [수행]	任務「完成」
[스님]을 모시다	侍奉「師父」
[신]을 신다	信「上帝」
[신]이 나다	來「勁」
가톨릭 [신부]	天主教「神父」
우주의 [신비]	宇宙的「神秘」
[신앙]이 깊다	「信仰」深
[유교] 문화	「儒家」文化
[절]에 다니다	去「廟」裡
[절]을 올리다	行「禮」
[종교]를 믿다	相信「宗教」
[종교적] 신념	「宗教的」信念
[중]:불교	僧人
[지도자]를 뽑다	選「領導」
[지옥]에 떨어지다	落入「地獄」
[천국]:지옥	「天國」：地獄
[천사]의 날개	「天使」的翅膀
[천주교]를 믿다	信「天主教」
[하느님]을 믿다	相信「上帝」
[향]을 피우다	點「香」
