성격이 [괜찮다]	人品好
[주로] 말하다	「主要」說
[중요] 자료	「重要」資料
[기회]를 놓치다	錯過「機會」
[꼭] 오세요	「一定」要来哦
[똑같이] 나누다	「均」分
[만약]의 경우	「如果」的狀況
[만일]에 대비하다	以防「萬一」
[아마]을 것이다	也許吧
어느 [정도]	某種「程度」
[혹시]:만일	如果
불빛이 [밝다]	明亮的
힘이 [강하다]	力量「強」
힘이 [약하다]	力量「虛弱」
바다가 [깊다]	海很「深」
[깊이] 묻다	埋得「深深地」
[새] 옷	「新」衣
[새로] 사다	「新」買的
기억이 [새롭다]	記憶「猶新」
[거짓말]을 하다	說謊
한국에 [계시다]	「在」韓國（敬語）
지금까지 한 말은 [정말]이다.	到现在为止我所说的都是「真话」。
[진짜] 괜찮다	「真的」沒闗係
[참] 좋다	「真」不錯
서로 [같다]	彼此「相同」
모양이 [다르다]	「不同的」模樣
모양이 [똑같다]	「相同的」模樣
성격이 [비슷하다]	性格「相似」
[가장] 빠르다	「最」快
[너무] 심하다	「非常」過份
하나 [더]	更多的
[더욱] 좋다	「更」好
[매우] 좋다	「很」好
[무척] 길다	「非常」長
[보다] 높이  	「再」高點
[보통]이 넘다	超過「平常」
[비교] 대상	「比較」對象
장난이 [심하다]	玩笑開「過火」
[아주] 쉽다	「很」簡單
크기가 [알맞다] 	大小「合適」
[얼마나] 예쁜지	多漂亮
[이상] 기온	「異常」氣溫
[자세히] 알다	「清楚地」知道
[잘] 알다	「很」清楚
[정말] 좋다	「真的」很好
[제일] 좋아하다	「最」喜歡
[좀] 비싸다	「有點」貴
[최고] 점수	「最高」分
관심이 [특별하다]	「特別」闗心
[특별히] 좋아하다	「特別」喜歡
[특히] 좋아하다	「尤其」喜歡
[평소]와 같다	和「平常」一樣
[평일]:주말	平日
[훨씬] 많다	「更」多的
[구조]를 요청하다	請求「救助」
[급격히] 감소하다	「急劇地」減少
[급속히] 진행되다	「急速地」進行
인구 [급증]	人口「激增」
[급히] 먹다	「匆忙地」吃
[긴급] 구조	「緊急」救助
[무사히] 돌아오다	「安全地」回來
[비상] 대책	「緊急」對策
[정착] 생활	「安定」生活
[주요] 인물	「主要」人物
[중요성]을 지니다	具有「重要性」
[출현] 시기	「出現」時期
[침묵]을 깨다	打破「沈默」
[편히] 살다	「安逸地」住
[필수] 조건	「必要的」條件
[필수적] 과정	「必要的」過程
[필요성]을 느끼다	感到「必要性」
[핵심]이 되다	成為「核心」
주차 [가능]	駐車「可能」
[가능성]이 높다	「可能性」很高
그런 일은 [가능하다]	那種事有「可能」
[가정]을 해 보다	做個「假設」
[그런대로] 괜찮다	「還算」可以
[그야말로] 최고다	「簡直」太棒了
[그토록] 아름답다	「那麼」美麗
[극히] 드물다	「極」稀有
[기적]이 일어나다	發生「奇蹟」
[너무나] 좋다	「真的」很好
[다소] 빠르다	「略」快
결과가 [당연하다]	結果「理所當然」
[당연히] 다르다	「當然」不一樣
[대단히] 좋다	「非常」好
[더욱이] 바람까지 불다	「更」刮著風
[도저히] 안 되다	「實在」不行
[되게] 크다	「非常」大
[되도록] 빨리	「盡」快
[마땅한] 혼처.	「適合的」結婚對象
[마침] 잘 왔다	來得「正好」
근거가 [명확하다]	根據「明確」
[몹시] 춥다	「相當」冷
[불가능]이 없다	沒有「不可能」
선택이 [불가피하다]	「不可避免」要選擇
[비교적] 가깝다	「比較」近
[설마] 진심은 아니지?	「恐怕」不是真心的吧
[썩] 잘한다	非常好
[아마도] 반짝였을거야 	「應該會」閃閃發亮吧
[아무래도] 이상하다	「總覺得」奇怪
[어쩌면] 병이 났다	「可能」生病了
[어찌나] 귀여운지	「多麼」可愛
[여간]이 아니다	「非」一般人
[영] 모르겠다	「全然」不知
[우연]의 일치	「偶然」的一致
[우연히] 발견하다	「偶然地」發現
[워낙] 비싸다	「非常」貴
[유난히] 작다	「異常地」小
[의외]의 결과	「意外」的結果
설명이 [자세하다]	說明「仔細」
[잔뜩] 사다	買「滿滿地」
상황이 [적절하다]	情況「適切」
[정말로] 믿다	「真的」相信
[제법] 잘하다	做得「相當」好
[지극히] 간단하다	「極其」簡單
[참으로] 잘되다	「真的」很好
사실임에 [틀림없다]	「肯定是」事實
[퍽] 어렵다	「很」害怕
[하도] 기가 막혀서	「很」不可相信
소름이 [확] 끼치다	「突然」起雞皮疙𤺥
증거가 [확실하다]	証據「確實」
[확실히] 말하다	「確實地」說
[확인]을 받다	得到「確認」
[딱] 알맞다	「正」合適
방이 [깜깜하다]	房子「黑暗」
등불이 [깜박하다]	燈光「閃爍」
[깜빡] 켜지다	閃「亮亮」
보석이 [반짝거리다]	寶石「閃爍」
[반짝반짝] 빛나다	閃光
눈빛이 [반짝이다]	眼神「閃爍」
[불빛]이 비치다	「燈光」照耀
달빛이 [비추다]	月光「照射」
햇빛이 [비치다]	陽光「映射」
별빛이 [빛나다]	星光「閃耀」
[어둠]이 깔리다	「黑暗」籠罩
밖이 [캄캄하다]	外面「黑漆漆的」
불꽃이 [타오르다]	火花「燃燒」
불빛이 [환하다] 	燈火「明亮」
날이 [새다]	天「亮」
굶기가 [일쑤이다]	「經常」餓肚子
실력이 [대단하다]	實力「驚人」
욕심이 [지나치다]	「過於」貪心
목소리가 [힘차다]	聲音「有力」
강이 [얕다]	江「淺」
옷이 [낡다]	衣服「破舊」
야채가 [싱싱하다]	蔬菜「新鮮」
자동차가 [고급스럽다]	汽車「很豪華」
[헌] 책	「舊」書
[가짜]로 꾸미다	造「假」
[간절한] 기도	「懇切的」祈禱
[거짓] 으로 꾸미다	造「假」
[구체적] 성과	「具體的」成果
[근본]을 밝히다	弄清「根本」
[근본적] 이유	「根本的」理由
[막상] 보니까	「實際」去看
[본래] 부터 다르다	向來不同
[실감]이 나다	有「真實感」
[실은] 그렇지 않다	「實際上」不是這樣
[실제] 일어나다	「真實」發生
[실제로] 일어나다	「實際」發生
[아예] 안 하다	「壓根」不行
죄 [없이]	「沒有」罪
[정작] 할 말은 못하다	無法說「真」話
[진실]을 말하다	說「真相」
[진정한] 친구	「真」朋友
[현실]에 만족하다	滿足於「現實」
[현실적] 조건	「實際的」條件
[환상]이 깨지다	「幻想」被打破
[환상적] 소설	「幻想的」小說
냄새 [제거]	「消除」味道
전과 [다름없다]	和以前「一樣」
장소가 [달라지다]	場所「改變」
[동일]  조건	「同一」條件
[딴] 생각	「胡思」亂想
[별다른] 방법	「別的」方法
기분이 [색다르다]	氣氛「與眾不同」
의견 [일치]	意見「一致」
시비를 [가리다]	「辨別」是非
공연이 [굉장하다]	「了不起的」公演
[굉장히] 좋아하다	「非常」喜歡
[그다지] 좋지 않다	「不是」這麼好
[꽤] 멀다	「相當」遠
[달리] 보이다	看起來「不同」
색채 [대비]	色彩「對比」
[도무지] 모르다	「怎麼也」不明白
취향이 [독특하다]	品味「獨特」
[말없이] 사라지다	「一聲不吭」消失
친구를 [몰라보다].	「認不出」朋友
국물이 [미지근하다]	湯「不冷不熱」
[부]정확	「不」正確
발음의 [부정확]	發音「不準確」
[불]가능	「不」可能
청소년 입장 [불가]	青少年「不可」入場
[불규칙]	不規律的
[불균형]이 심해지다	「不平衡」加劇
[불리]:유리	不利
[불만족]을 나타내다	表示「不滿意」
표정이 [불만족스럽다]	表情「不滿」
[불완전]:완전	不完美
[불충분]:충분	不充份
[불평]을 늘어놓다	大發「不滿」
[불평등]을 낳다	產生「不平等」
[불필요]:필요	不必要
[불확실]:확실	不確定
[비할] 수 없다	難以「比較」
실력이 [상당하다]	實力「相當」
[상당히] 잘하다	「相當」會做
[심지어] ~까지도	甚至
[십상] 알맞다	「正好」符合
[온] 집안	「全」家
[온갖] 방법	「各種」方法
[완전]에 가깝다	「非常」近
[일반] 국민	「一般」國民
[일반적] 생각	「一般的」想法
[일체] 금지하다	「一切」禁止
[정반대]가 되다	變得「完全相反」
[정상적] 생활	「正常的」生活
시선 [집중]	視線「集中」
[집중적] 관심	「高度」關心
[차라리] 죽는 게 낫다	「不如」死掉
[철저히] 예방하다	「徹底」預防
[최고급] 호텔	「頂級」飯店
[최대]로 늘리다	增加到「最大」
[최대한]의 노력	「最大的」努力
[최선]을 다하다	盡力到「最好」
[최소]:최대	「最少」：最大
[최소한]으로 유지하다	維持在「最少」
[최신] 기술	「最新」技術
[최저]:최고	「最低」：最高
[최종] 목표	「最終的」目標
[최초]로 발견하다	「最初」發現
[추가] 모집	「追加」招募
예산 [축소]	預算「減少」
[충분히] 이해하다	「充份的」理解
[특수] 부대	「特種」部隊
[평상시]와 같다	和「平常」一樣
